GLBRC 2011 Series 1,,,,,,,,,,,,,,,,,
"time entered by:  LC, AO",,,,,,,,,,,,,,,,,
time checked by: DC,,,,,,,,,,,,,,,,,
sample date:  4/7/2011,,,,,,,,,,,,,,,,,
,,,,,,,Box,Box,Box,Box,,,,,,,
G,Block,T0-T3,Microplots,Chamber #,Vial #,Lid Type,Ht (cm),Ht (cm),Ht (cm),Ht (cm),Soil temp,Hours,Minutes,Seconds,Time ,Actual time,Notes
G3,4,0,,1,129,Y,16.5,17,17.5,17,5,0,5,21,5.4,0.0,-
G3,4,1,,1,130,Y,16.5,17,17.5,17,5,0,23,7,23.1,17.8,-
G3,4,2,,1,131,Y,16.5,17,17.5,17,5,0,40,19,40.3,35.0,-
G3,4,3,,1,132,Y,16.5,17,17.5,17,5,0,57,38,57.6,52.3,-
G8,4,0,,1,133,Y,18,16,17.5,17.5,5,0,8,42,8.7,0.0,-
G8,4,1,,1,134,Y,18,16,17.5,17.5,5,0,26,12,26.2,17.5,-
G8,4,2,,1,135,Y,18,16,17.5,17.5,5,0,43,47,43.8,35.1,-
G8,4,3,,1,136,Y,18,16,17.5,17.5,5,1,1,12,61.2,52.5,-
G10,4,0,,1,137,Y,17.5,17.5,18,19,5,0,11,12,11.2,0.0,-
G10,4,1,,1,138,Y,17.5,17.5,18,19,5,0,28,51,28.9,17.7,-
G10,4,2,,1,139,Y,17.5,17.5,18,19,5,0,46,15,46.3,35.1,-
G10,4,3,,1,140,Y,17.5,17.5,18,19,5,1,3,19,63.3,52.1,-
G5,4,0,,1,141,Y,18,18,18,18,5,0,0,0,0.0,0.0,-
G5,4,1,,1,142,Y,18,18,18,18,5,0,17,54,17.9,17.9,-
G5,4,2,,1,143,Y,18,18,18,18,5,0,35,54,35.9,35.9,-
G5,4,3,,1,144,Y,18,18,18,18,5,0,53,48,53.8,53.8,-
G6,4,0,,1,145,Y,20,18,19,18.5,5,0,3,1,3.0,0.0,-
G6,4,1,,1,146,Y,20,18,19,18.5,5,0,21,13,21.2,18.2,-
G6,4,2,,1,147,Y,20,18,19,18.5,5,0,38,32,38.5,35.5,-
G6,4,3,,1,148,Y,20,18,19,18.5,5,0,55,58,56.0,53.0,-
G7,4,0,,1,149,Y,18,18.5,19,18.5,5,0,6,1,6.0,0.0,-
G7,4,1,,1,150,Y,18,18.5,19,18.5,5,0,23,54,23.9,17.9,-
G7,4,2,,1,151,Y,18,18.5,19,18.5,5,0,41,3,41.1,35.0,-
G7,4,3,,1,152,Y,18,18.5,19,18.5,5,0,58,26,58.4,52.4,-
G4,4,0,,1,153,Y,19.5,18.5,18.5,20.5,5,0,8,55,8.9,0.0,-
G4,4,1,,1,154,Y,19.5,18.5,18.5,20.5,5,0,26,45,26.8,17.8,-
G4,4,2,,1,155,Y,19.5,18.5,18.5,20.5,5,0,44,2,44.0,35.1,-
G4,4,3,,1,156,Y,19.5,18.5,18.5,20.5,5,1,1,28,61.5,52.6,-
G1,4,0,,1,157,Y,18.5,19,19.5,19,5,0,12,10,12.2,0.0,-
G1,4,1,,1,158,Y,18.5,19,19.5,19,5,0,29,40,29.7,17.5,-
G1,4,2,,1,159,Y,18.5,19,19.5,19,5,0,47,6,47.1,34.9,-
G1,4,3,,1,160,Y,18.5,19,19.5,19,5,1,3,39,63.7,51.5,-
G5,1,0,M1,1,161,Y,18,18,18.5,18,1.5,0,0,0,0.0,0.0,Thermometer Broken?
G5,1,1,M1,1,162,Y,18,18,18.5,18,1.5,0,18,0,18.0,18.0,Thermometer Broken?
G5,1,2,M1,1,163,Y,18,18,18.5,18,1.5,0,36,0,36.0,36.0,Thermometer Broken?
G5,1,3,M1,1,164,Y,18,18,18.5,18,1.5,0,54,0,54.0,54.0,Thermometer Broken?
G6,1,0,M1,1,165,Y,21,19.5,19.5,17.5,1,0,1,18,1.3,0.0,Thermometer Broken?
G6,1,1,M1,1,166,Y,21,19.5,19.5,17.5,1,0,19,18,19.3,18.0,Thermometer Broken?
G6,1,2,M1,1,167,Y,21,19.5,19.5,17.5,1,0,37,18,37.3,36.0,Thermometer Broken?
G6,1,3,M1,1,168,Y,21,19.5,19.5,17.5,1,0,55,18,55.3,54.0,Thermometer Broken?
G9,4,0,M1,1,169,Y,18,18.5,18,17.5,1.25,0,2,43,2.7,0.0,Thermometer Broken?
G9,4,1,M1,1,170,Y,18,18.5,18,17.5,1.25,0,20,43,20.7,18.0,Thermometer Broken?
G9,4,2,M1,1,171,Y,18,18.5,18,17.5,1.25,0,38,43,38.7,36.0,Thermometer Broken?
